10
20
83 61 32 5 49 47 12 40 36 78 99 87 46 30 42 72 39 92 19 49
13 6 71 31 60 56 30 74 33 88 15 45 37 18 21 33 25 75 10 63
56 17 97 45 39 33 21 23 53 36 98 49 76 3 38 1 95 86 29 14
86 64 26 16 43 71 49 85 4 39 18 70 65 14 15 56 95 28 22 56
35 87 5 74 28 81 22 75 49 84 39 72 71 45 86 51 84 31 82 38
93 1 97 1 11 45 2 75 57 65 74 12 79 30 48 91 55 70 57 20
64 55 21 2 25 69 67 13 4 12 93 52 65 90 61 76 25 45 79 89
51 18 29 20 83 51 69 20 17 84 72 27 71 45 41 36 8 40 35 21
57 96 68 85 23 93 51 11 64 41 85 51 41 36 92 28 50 57 84 34
60 72 68 91 36 56 97 5 38 82 74 34 15 49 99 77 93 27 55 1
1694 1694 1694 1694 1694 1694 1694 1694 1694 1694
599
