10
20
74 24 29 13 67 95 0 37 20 48 79 29 72 27 33 94 77 5 42 32 
54 31 92 97 52 17 61 18 8 8 91 7 64 99 45 93 51 33 83 41 
30 19 16 29 11 66 10 29 58 63 51 16 54 35 51 37 16 49 63 89 
25 34 57 16 3 24 33 66 70 37 81 55 11 18 9 43 38 80 41 60 
11 62 77 64 85 6 78 58 36 41 42 28 47 76 27 19 24 1 20 97 
28 66 4 85 6 62 95 44 20 86 83 58 68 93 76 36 38 93 97 73 
28 56 15 68 25 35 60 25 53 69 10 47 86 10 2 37 86 94 26 0 
35 21 76 56 11 11 67 30 8 2 85 64 39 86 17 25 80 33 1 73 
45 17 84 90 11 76 12 61 12 91 19 96 34 98 21 36 60 97 94 21 
67 40 15 28 66 5 44 12 51 85 60 77 33 28 96 37 59 77 49 87 
420 817 125 766 115 982 244 790 199 664 
