50
20
36 61 7 78 51 81 21 71 73 4 88 97 8 9 11 43 48 27 1 81 
74 12 14 60 91 97 1 73 86 15 40 19 21 58 95 71 70 0 87 82 
84 24 63 92 58 46 38 59 70 25 68 93 51 54 59 20 38 80 78 55 
67 17 33 28 39 56 6 74 99 33 57 24 40 50 79 7 19 54 50 69 
93 27 91 43 2 90 91 78 71 17 41 22 20 52 36 28 92 47 8 93 
76 88 5 21 61 52 92 34 80 80 50 44 95 84 22 18 60 71 70 28 
36 76 37 37 69 83 52 79 29 51 68 89 86 75 17 63 74 76 5 38 
31 50 28 29 97 15 29 25 59 2 60 15 39 42 90 48 0 29 56 8 
97 96 38 76 39 35 97 36 58 27 83 64 1 74 51 26 58 89 5 64 
1 18 29 21 99 98 85 26 58 56 53 39 84 24 44 43 35 49 83 0 
36 5 59 31 0 63 54 55 29 1 91 39 93 40 98 52 56 97 61 49 
41 41 32 36 60 58 20 53 7 78 46 58 96 36 40 43 26 70 13 46 
9 76 43 69 22 42 56 83 98 39 54 8 51 22 48 49 7 35 75 72 
68 59 74 85 71 59 67 18 54 56 14 88 47 92 97 50 44 45 93 48 
40 9 28 85 31 83 26 89 40 3 16 96 1 38 23 28 46 30 83 13 
54 90 39 53 71 43 2 75 45 45 93 43 80 3 55 91 83 77 59 13 
4 82 51 18 98 6 96 65 13 90 68 11 29 94 12 63 7 94 57 65 
11 14 5 24 98 97 93 36 74 83 79 24 98 50 91 62 48 78 99 20 
74 2 32 4 98 18 63 79 8 51 52 47 26 4 8 62 60 63 67 61 
63 12 98 27 56 21 20 90 79 4 27 41 74 58 6 76 86 90 71 45 
69 68 6 58 83 18 73 85 35 59 44 69 41 98 14 7 27 97 19 28 
94 31 36 37 46 48 43 62 6 93 86 73 33 13 73 22 62 93 64 71 
48 88 77 70 57 40 50 41 87 99 55 50 23 45 69 91 84 57 71 18 
55 88 3 7 33 32 37 69 60 10 89 49 95 47 72 7 63 88 28 91 
17 24 71 89 51 71 45 68 91 44 99 15 19 55 24 9 19 2 83 81 
56 12 58 92 67 3 12 47 46 61 26 46 26 16 58 67 6 7 45 36 
48 84 14 47 89 61 57 99 36 44 24 81 79 27 66 39 92 74 89 66 
26 67 5 80 34 62 61 53 81 45 73 43 85 72 52 59 59 30 39 10 
56 90 77 95 79 7 38 84 55 15 18 66 57 58 47 25 10 94 4 21 
44 10 44 83 63 11 61 38 39 3 25 44 3 56 97 85 51 42 18 25 
57 67 13 34 39 85 44 43 3 57 48 63 95 87 33 25 50 52 30 97 
5 95 36 68 37 35 70 61 79 92 49 57 87 20 83 60 57 48 86 19 
73 19 96 44 30 91 55 55 7 85 33 19 87 12 11 10 99 33 30 33 
72 81 24 28 41 71 58 97 26 76 32 16 97 9 14 92 16 80 77 92 
16 40 84 9 44 3 96 32 60 29 72 68 46 55 90 73 4 80 42 92 
26 64 61 88 67 24 65 27 86 20 81 41 69 60 58 19 57 43 74 26 
38 77 37 69 62 58 85 4 29 76 50 65 60 0 81 80 32 94 1 70 
25 31 77 41 63 44 1 11 76 68 77 11 30 80 30 46 91 71 10 3 
19 6 67 66 38 55 28 54 3 67 7 5 89 43 9 99 31 73 9 7 
44 33 70 40 90 44 70 50 97 28 66 34 83 43 40 72 64 12 39 6 
92 89 56 22 46 64 1 48 61 8 81 37 40 63 74 97 74 66 30 78 
22 35 10 46 67 36 9 50 39 72 44 49 21 97 7 90 30 31 84 82 
42 33 60 5 55 75 15 96 65 45 83 15 39 7 19 26 23 63 24 23 
28 30 51 40 47 1 7 45 10 96 96 23 53 18 34 55 51 80 34 98 
54 2 46 50 17 85 32 9 16 96 58 45 73 37 20 66 65 2 46 18 
38 40 14 20 39 41 64 97 52 63 9 55 10 89 6 64 37 33 12 64 
6 40 97 63 45 94 0 12 61 14 32 8 9 0 84 62 28 27 8 74 
82 94 30 68 21 96 48 12 42 4 46 8 34 25 1 78 7 13 21 62 
36 97 91 2 34 70 89 55 1 82 23 64 15 26 90 99 47 58 72 31 
78 39 5 53 32 65 74 93 88 45 88 3 11 40 3 58 50 38 21 34 
1306 2338 4071 1819 102 1756 527 3969 2381 2968 1085 1672 2094 2672 1849 2712 3829 4188 4922 4621 4618 4725 4959 1250 795 3385 2987 2954 879 5011 5098 3652 3534 160 3980 191 2255 4754 1187 2539 4656 3875 2959 497 317 908 2412 648 4354 3473 
